ccp_alpha,max_depth,macro_f1_mean,macro_f1_std,accuracy_mean,fit_seconds_mean
0.0001,,0.6321522996587835,0.028361292101995873,0.7515624999999999,0.16293280519998915
0.0001,24.0,0.6318546504837098,0.02625143591837453,0.7546250000000001,0.15723157100001117
0.0,16.0,0.6278527273833925,0.02283320909924311,0.7584375000000001,0.14085666660000698
0.0001,16.0,0.6269642964593116,0.022680684656215592,0.760625,0.1419413638000151
0.0,24.0,0.6263242243484829,0.02868949934919627,0.74975,0.1644424428000093
0.0,,0.6244296797682765,0.029460774844266943,0.74525,0.16544600160002573
0.0,12.0,0.6148963761915042,0.017343408499847508,0.752625,0.11409547920000022
0.0001,12.0,0.61325341734061,0.02000664159424137,0.7531875,0.11290236039999399
0.0,8.0,0.5680701510737938,0.028099989716468713,0.7321875,0.07771492219999346
0.0005,24.0,0.5669112515849932,0.03313393653038035,0.739375,0.253255620400023
0.0005,,0.5669112515849932,0.03313393653038035,0.739375,0.27919461720000527
0.0005,16.0,0.5661156239548107,0.03191649714237321,0.7391875000000001,0.20604777759997434
0.0001,8.0,0.5658869795957798,0.026694482925374505,0.732,0.08045741660000658
0.0005,12.0,0.5638382693471955,0.03159217579824803,0.7380625000000001,0.1477239004000012
0.0005,8.0,0.5483666339151129,0.026549358277587594,0.7275,0.09628721119997863
0.001,12.0,0.4703281679067978,0.00848739181583757,0.7152499999999999,0.1805880652000269
0.001,,0.4703281679067978,0.00848739181583757,0.7152499999999999,0.24777064439999777
0.001,16.0,0.4703281679067978,0.00848739181583757,0.7152499999999999,0.21301777119995222
0.001,24.0,0.4703281679067978,0.00848739181583757,0.7152499999999999,0.23206874299999072
0.001,8.0,0.46824213533991765,0.005135306664069977,0.7108125,0.12044030839999778
0.0005,4.0,0.4448463827790487,0.00874562328500664,0.692,0.03797342779996597
0.0,4.0,0.44481649668988066,0.008694729521123764,0.692,0.03989250820000052
0.0001,4.0,0.44481649668988066,0.008694729521123764,0.692,0.04093416339999294
0.001,4.0,0.42452280598063974,0.0028422873343014548,0.6908125,0.041160008400015616
0.003,8.0,0.3634467784686305,0.028110778073022258,0.6923125,0.10480436960001498
0.003,12.0,0.3634467784686305,0.028110778073022258,0.6923125,0.1486149498000259
0.003,24.0,0.3634467784686305,0.028110778073022258,0.6923125,0.17435266240004238
0.003,16.0,0.3634467784686305,0.028110778073022258,0.6923125,0.1666697282000314
0.003,,0.3634467784686305,0.028110778073022258,0.6923125,0.2558827270000165
0.003,4.0,0.3572355827846875,0.029286891416448597,0.6883125,0.05538103379999484
0.005,8.0,0.30385467514778053,0.0013781033821782455,0.6810625000000001,0.13985294720005187
0.005,12.0,0.30385467514778053,0.0013781033821782455,0.6810625000000001,0.16203653260004103
0.005,16.0,0.30385467514778053,0.0013781033821782455,0.6810625000000001,0.21074956620000193
0.005,24.0,0.30385467514778053,0.0013781033821782455,0.6810625000000001,0.23475166819998777
0.005,,0.30385467514778053,0.0013781033821782455,0.6810625000000001,0.275422002599953
0.005,4.0,0.2981071948904655,0.0018559513474029335,0.67775,0.06267175720004162
0.01,4.0,0.291292238623105,0.0012476461872452111,0.671625,0.05885765639991405
0.01,8.0,0.291292238623105,0.0012476461872452111,0.671625,0.12593394959999388
0.01,12.0,0.291292238623105,0.0012476461872452111,0.671625,0.2007518159999563
0.01,16.0,0.291292238623105,0.0012476461872452111,0.671625,0.20690619619995232
0.01,24.0,0.291292238623105,0.0012476461872452111,0.671625,0.2420426223999584
0.01,,0.291292238623105,0.0012476461872452111,0.671625,0.28210101380000197
