n_neighbors,weights,macro_f1_mean,macro_f1_std,accuracy_mean,fit_seconds_mean
1,uniform,0.6565536833987744,0.014127946584617562,0.7805,0.0029958336000618147
1,distance,0.6565536833987744,0.014127946584617562,0.7805,0.0014270936000229995
3,distance,0.6406564780559625,0.023998239531049348,0.784875,0.0031350658000064867
7,distance,0.629064902031212,0.016700120229678476,0.7847500000000001,0.003059317600036593
3,uniform,0.6186137882042827,0.020118504897811456,0.7735000000000001,0.0014605568000206405
15,distance,0.5753493247238118,0.02077668255840217,0.7749375000000001,0.0013692571999854408
7,uniform,0.5689720723319401,0.012147325715141204,0.7640625,0.0013212156000918184
15,uniform,0.5091698126036408,0.01791850754876823,0.74975,0.0013923726000030002
31,distance,0.4841453913001262,0.01596312582534978,0.7581875,0.0029755273999398923
31,uniform,0.436847936170816,0.013499557279188154,0.73125,0.001635454999996
61,distance,0.3934660651200234,0.01230354236033358,0.7333125,0.001396096600092278
101,distance,0.355807513995643,0.010480960625520546,0.721,0.003004366600043795
61,uniform,0.3554590687177367,0.00857866401012955,0.7115,0.0014053728000362753
101,uniform,0.3355703389465698,0.005769584889235108,0.7037500000000001,0.002138147400000889
