hidden_dims,activation,macro_f1_mean,macro_f1_std,accuracy_mean,fit_seconds_mean
"(128, 64)",relu,0.5866120962343565,0.019624316580854045,0.774875,6.450420013199983
"(64, 64)",tanh,0.5849263537956007,0.028822425893113467,0.7718750000000001,7.616424564600038
"(128, 64)",tanh,0.5843128084672147,0.02052528660747193,0.776625,8.466203773600046
"(64, 64, 32)",gelu,0.5823248487387699,0.02968135016010568,0.7681250000000001,10.582185083200056
"(128, 64)",gelu,0.5822521882302125,0.026928905216949465,0.7581875,9.260228908199952
"(64, 64, 32)",tanh,0.5812595429226056,0.039602702715134705,0.779625,8.54385884559988
"(128,)",relu,0.5730543027455346,0.018171664169293066,0.769875,6.6023124837999605
"(64, 64, 32)",relu,0.5671745845005508,0.03484277972796042,0.772625,6.819890360199952
"(64, 64)",gelu,0.5659058264308706,0.038005280377817176,0.7610625,8.376002649600059
"(128,)",tanh,0.5634000557621841,0.01762926254034502,0.758375,7.084079907200021
"(64, 64, 32)",silu,0.5631552438534353,0.012372871227870749,0.7529375,8.759011857600035
"(64, 64)",silu,0.5630252978974492,0.029635553201932226,0.7513125,8.04669454560003
"(64, 64)",relu,0.5626550616411867,0.03825095895627113,0.7682500000000001,6.111879013999987
"(128, 64)",silu,0.562456121778137,0.018459875161382006,0.7464375000000001,8.111078215399994
"(128,)",gelu,0.5595316211434637,0.019416140271676336,0.7530625000000001,7.539947152200102
"(128,)",silu,0.5405644331252903,0.026760871654870937,0.7426250000000001,6.896786278399941
