kernel,C,gamma,macro_f1_mean,macro_f1_std,accuracy_mean,fit_seconds_mean
rbf,10.0,0.1,0.6085394736814589,0.02724669536571231,0.7603746174638898,1.4889995953333255
rbf,10.0,scale,0.6015896696688472,0.018582021508523425,0.7592495705478676,1.422771520000045
linear,10.0,scale,0.4985420862790164,0.022087542325880716,0.7112505066649114,3.6066612656666166
linear,10.0,0.1,0.4985420862790164,0.022087542325880716,0.7112505066649114,3.6741355816667842
linear,10.0,0.01,0.4985420862790164,0.022087542325880716,0.7112505066649114,3.722338604333345
linear,1.0,0.1,0.47125928003026046,0.029906760081611618,0.7092503347059113,1.3561391973333532
linear,1.0,0.01,0.47125928003026046,0.029906760081611618,0.7092503347059113,1.405657713000058
linear,1.0,scale,0.47125928003026046,0.029906760081611618,0.7092503347059113,1.438962194999931
rbf,1.0,0.1,0.45999837294906315,0.008847618527704014,0.7415001013095419,1.292558022333348
rbf,1.0,scale,0.455873458954789,0.006409283034875337,0.7396250074892178,1.2527736426665494
rbf,10.0,0.01,0.4460052696327565,0.004563686520980158,0.7303746634071341,1.224182902666674
linear,0.1,scale,0.39967014835016634,0.01079428916871278,0.707125506535989,0.9308459129999846
linear,0.1,0.01,0.39967014835016634,0.01079428916871278,0.707125506535989,0.9265848026667148
linear,0.1,0.1,0.39967014835016634,0.01079428916871278,0.707125506535989,0.876756290333257
rbf,1.0,0.01,0.30881790221871913,0.003904270825821336,0.6992499906003872,1.2463751303333386
rbf,0.1,0.1,0.29813224239483915,0.006798146124390639,0.6988756938015906,1.6043197046667501
rbf,0.1,scale,0.2966738008294347,0.006091350948946481,0.6953754280339863,1.5015806763334087
rbf,0.1,0.01,0.2769023671351844,0.004949601849188167,0.6731260055358796,1.6559272156666793
